symbol,entry_time,exit_time,avg_entry_price,exit_price,quantity,exit_reason,net_pnl,return_pct,duration_hours,entry_count,total_invested,breakeven_triggered,rule,gross_pnl,total_commission,entry_commission,exit_commission
LINEAUSDT,,,0.02863,0.02716,6985.679357317499,negative_pnl_8h,-10.483300733496344,-5.241650366748172,0.0,1,200.0,False,Rule 8,,,,
SOMIUSDT,,,0.6223,0.572516,321.3883978788366,stop_loss,-16.21119999999997,-8.105599999999985,0.0,1,200.0,False,Rule 6,,,,
SOMIUSDT,,,0.6219627592966558,0.5722057385529233,964.6879833746118,stop_loss,-48.6336,-8.1056,0.1666666666666666,3,600.0,False,Rule 8,,,,
USELESSUSDT,,,0.1875,0.1868,1066.6666666666667,negative_pnl_8h,-0.966256000000003,-0.4831280000000015,0.0,1,200.0,False,Rule 8,,,,
ENAUSDT,,,0.7328492324486593,0.7327,545.8148583488112,negative_pnl_8h,-0.5214084885177322,-0.130352122129433,0.25,2,400.0,False,Rule 8,,,,
PTBUSDT,,,0.0489512732195918,0.0489610634742357,28599.86897010221,breakeven_sl,-1.2601540000000273,-0.0900110000000019,12.583333333333334,7,1400.0,True,Rule 8,,,,
SOMIUSDT,,,0.7238421370951237,0.88361,2763.033398451036,take_profit,439.0011470376568,21.950057351882844,4.833333333333333,10,2000.0,True,Rule 8,,,,
BIOUSDT,,,0.1662122157738254,0.1662454582169802,16845.9338982047,breakeven_sl,-2.5203080000000546,-0.0900110000000019,8.5,14,2800.0,True,Rule 8,,,,
SOMIUSDT,,,0.9642696032701956,1.13646,2696.341346011983,take_profit,461.1687298414298,17.73725884005499,4.0,13,2600.0,True,Rule 8,,,,
SOMIUSDT,,,1.0928143865359263,1.0053892356130525,1647.1232646430988,stop_loss,-145.90079999999978,-8.105599999999988,3.0,9,1800.0,False,Rule 8,,,,
MERLUSDT,,,0.17709,0.1629228,1129.369247275397,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 8,,,,
MYXUSDT,,,1.584428829779133,1.84665,1009.8276236383796,take_profit,262.892542192158,16.430783887009873,7.583333333333333,8,1600.0,True,Rule 8,,,,
SOMIUSDT,,,1.15986118367171,1.0670722889779731,344.8688564037824,stop_loss,-32.4224,-8.105599999999999,0.1666666666666666,2,400.0,False,Rule 8,,,,
MYXUSDT,,,2.1486979558233745,2.558504,1582.3536252665772,take_profit,644.3614277152265,18.951806697506655,1.5833333333333333,17,3400.0,True,Rule 8,,,,
WLFIUSDT,,,0.2190850650075502,0.2191288820205517,4564.437105585164,breakeven_sl,-0.9001099999999547,-0.0900109999999954,9.083333333333334,5,1000.0,True,Rule 6,,,,
HUSDT,,,0.03691,0.0339572,5418.58574911948,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 8,,,,
PTBUSDT,,,0.0565999914478779,0.0566113114461674,45936.40270059584,breakeven_sl,-2.3402860000000185,-0.0900110000000007,2.333333333333333,13,2600.0,True,Rule 6,,,,
MYXUSDT,,,2.6728635409238017,3.154424000000001,598.6089358856698,take_profit,286.3478474555336,17.89674046597085,0.6666666666666666,8,1600.0,True,Rule 6,,,,
SOMIUSDT,,,1.317143674059536,1.3174071027943477,607.374894444385,breakeven_sl,-0.7200880000000318,-0.0900110000000039,0.25,4,800.0,True,Rule 6,,,,
SOMIUSDT,,,1.4262472808017477,1.426532530257908,1682.7376516720642,breakeven_sl,-2.160263999999982,-0.0900109999999992,0.9166666666666666,12,2400.0,True,Rule 6,,,,
SOMIUSDT,,,1.6794275483552106,1.6797634338648817,357.26459327621785,breakeven_sl,-0.5400660000001092,-0.0900110000000182,0.1666666666666666,3,600.0,True,Rule 8,,,,
SOMIUSDT,,,1.7608,1.619936,113.58473421172197,stop_loss,-16.21119999999997,-8.105599999999985,0.0,1,200.0,False,Rule 6,,,,
SOMIUSDT,,,1.758732049478798,1.618033485520494,796.0280250848283,stop_loss,-113.4784,-8.105599999999999,0.5,7,1400.0,False,Rule 6,,,,
PTBUSDT,,,0.05699,0.05384,3509.38761186173,negative_pnl_8h,-11.268490963326895,-5.634245481663449,0.0,1,200.0,False,Rule 6,,,,
SOONUSDT,,,0.3221012098742472,0.322165630116222,3725.537077207802,breakeven_sl,-1.0801320000002184,-0.0900110000000182,0.6666666666666666,6,1200.0,True,Rule 8,,,,
MYXUSDT,,,3.265467182844591,3.933904,1408.6805171910746,take_profit,936.036033643322,20.348609427028737,16.416666666666668,23,4600.0,True,Rule 8,,,,
NAORISUSDT,,,0.0327136576590831,0.03139,24454.61795611458,negative_pnl_8h,-33.231739109266655,-4.153967388658332,0.5833333333333334,4,800.0,False,Rule 8,,,,
ZEREBROUSDT,,,0.02261,0.0208012,8845.64352056612,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 8,,,,
MYXUSDT,,,4.409805881314623,5.440305,634.9485839873936,take_profit,650.8740835336223,23.24550298334365,2.833333333333333,14,2800.0,True,Rule 8,,,,
MYXUSDT,,,6.17661507292541,6.177850395939995,64.76038983768974,breakeven_sl,-0.3600440000000159,-0.0900110000000039,0.0833333333333333,2,400.0,True,Rule 6,,,,
MYXUSDT,,,6.17531,5.6812852,32.38703805962778,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 6,,,,
NAORISUSDT,,,0.03626,0.0333592,5515.719801434088,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 6,,,,
SOMIUSDT,,,1.779751300080016,1.6373711960736148,1236.1277667846568,stop_loss,-178.3232,-8.1056,0.9166666666666666,11,2200.0,False,Rule 6,,,,
MYXUSDT,,,6.657836931725568,6.659168499111912,720.9548760690274,breakeven_sl,-4.3205280000008734,-0.0900110000000182,2.9166666666666665,24,4800.0,True,Rule 6,,,,
LINEAUSDT,,,0.0306748914607341,0.0306810264390262,32599.95235125986,breakeven_sl,-0.9001100000000682,-0.0900110000000068,0.6666666666666666,5,1000.0,True,Rule 8,,,,
MYXUSDT,,,7.82046084279977,7.82202493496833,281.3133451113077,breakeven_sl,-1.9802419999999452,-0.0900109999999975,0.9166666666666666,11,2200.0,True,Rule 8,,,,
PTBUSDT,,,0.0678405882967971,0.0678541564144564,8844.2629267165,breakeven_sl,-0.5400659999999955,-0.0900109999999992,0.1666666666666666,3,600.0,True,Rule 6,,,,
PTBUSDT,,,0.08277,0.0761484,2416.334420683823,stop_loss,-16.21119999999997,-8.105599999999985,0.0,1,200.0,False,Rule 6,,,,
PTBUSDT,,,0.0731318294628914,0.0672812831058601,16408.723927915737,stop_loss,-97.2672,-8.1056,0.4166666666666667,6,1200.0,False,Rule 6,,,,
LINEAUSDT,,,0.0321199501867995,0.0295503541718555,12453.319437724098,stop_loss,-32.4224,-8.105599999999999,0.1666666666666666,2,400.0,False,Rule 8,,,,
WLDUSDT,,,1.4623387556559215,1.4626312234070526,2325.042666652813,breakeven_sl,-3.060374000000164,-0.0900110000000048,1.3333333333333333,17,3400.0,True,Rule 8,,,,
SOMIUSDT,,,1.6961305109443612,1.5604400700688124,471.66181778935214,stop_loss,-64.84479999999988,-8.105599999999985,0.25,4,800.0,False,Rule 8,,,,
MYXUSDT,,,9.584036027833468,11.02608,333.8885612185434,take_profit,477.6971719876625,14.928036624614451,2.583333333333333,16,3200.0,True,Rule 6,,,,
ATHUSDT,,,0.0419566775511495,0.0419650688866597,23834.108379551675,breakeven_sl,-0.9001100000001819,-0.0900110000000181,2.0,5,1000.0,True,Rule 6,,,,
MYXUSDT,,,10.956972246022817,10.95916364047202,54.75965317132105,breakeven_sl,-0.5400659999999955,-0.0900109999999992,0.1666666666666666,3,600.0,True,Rule 6,,,,
MYXUSDT,,,12.41136,11.4184512,16.114269507934665,stop_loss,-16.211200000000026,-8.105600000000013,0.0,1,200.0,False,Rule 6,,,,
HUSDT,,,0.0447055958403685,0.041129148173139,49210.84169989816,stop_loss,-178.3231999999998,-8.10559999999999,2.25,11,2200.0,False,Rule 6,,,,
MYXUSDT,,,13.36985504885827,13.372529019868042,74.79512652498023,breakeven_sl,-0.9001099999999547,-0.0900109999999954,0.3333333333333333,5,1000.0,True,Rule 6,,,,
MYXUSDT,,,13.644843626956035,12.553256136799552,87.94530980401586,stop_loss,-97.2672,-8.1056,0.4166666666666667,6,1200.0,False,Rule 6,,,,
MYXUSDT,,,12.99708,11.9573136,15.38807178227725,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 6,,,,
LAUNCHCOINUSDT,,,0.089641269339804,0.0896591975936719,11155.576079688144,breakeven_sl,-0.9001100000000682,-0.0900110000000068,0.3333333333333333,5,1000.0,True,Rule 6,,,,
LAUNCHCOINUSDT,,,0.1012480631222484,0.124397,11852.078578047483,take_profit,272.8921192129926,22.74100993441605,0.4166666666666667,6,1200.0,True,Rule 6,,,,
PTBUSDT,,,0.0665886584476998,0.0612615657718838,18021.086893386,stop_loss,-97.26719999999978,-8.105599999999981,1.9166666666666667,6,1200.0,False,Rule 6,,,,
MYXUSDT,,,12.773076466317876,12.775631081611138,125.26347933633218,breakeven_sl,-1.4401760000000636,-0.0900110000000039,1.0,8,1600.0,True,Rule 6,,,,
ATHUSDT,,,0.0493146478144998,0.0453694759893399,52722.67196918979,stop_loss,-210.74559999999957,-8.105599999999983,1.0,13,2600.0,False,Rule 6,,,,
LAUNCHCOINUSDT,,,0.1091965558533091,0.1004608313850444,12820.917189739122,stop_loss,-113.4784,-8.105599999999999,0.6666666666666666,7,1400.0,False,Rule 6,,,,
ARKMUSDT,,,0.6122235252860138,0.6123459699910709,2613.424564586153,breakeven_sl,-1.4401760000000636,-0.0900110000000039,14.75,8,1600.0,True,Rule 8,,,,
MYXUSDT,,,13.867583908640375,12.758177195949148,72.11061469597001,stop_loss,-81.056,-8.1056,0.5,5,1000.0,False,Rule 6,,,,
KAITOUSDT,,,1.328640309939178,1.50995,2559.007110175397,take_profit,459.97760097703656,13.52875296991284,1.6666666666666667,17,3400.0,True,Rule 8,,,,
HUSDT,,,0.0449800558680587,0.041381651398614,22232.07554328808,stop_loss,-81.05599999999988,-8.105599999999988,0.3333333333333333,5,1000.0,False,Rule 8,,,,
KAITOUSDT,,,1.4985498698872357,1.3786658802962568,266.924717046687,stop_loss,-32.4224,-8.105599999999999,0.0833333333333333,2,400.0,False,Rule 6,,,,
AI16ZUSDT,,,0.1218489946655724,0.1182,3282.75174610872,negative_pnl_8h,-12.412155300963803,-3.1030388252409518,0.0833333333333333,2,400.0,False,Rule 8,,,,
WLDUSDT,,,1.7864928697495517,2.12433,2015.121392846468,take_profit,676.4483979098819,18.7902332752745,7.166666666666667,18,3600.0,True,Rule 6,,,,
MYXUSDT,,,15.36082058695314,17.617678,208.32220400503545,take_profit,466.3749259802993,14.574216436884353,4.833333333333333,16,3200.0,True,Rule 8,,,,
OPENUSDT,,,1.3123,1.207316,152.40417587441897,stop_loss,-16.21119999999997,-8.105599999999985,0.0,1,200.0,False,Rule 8,,,,
WLDUSDT,,,2.1128343517050427,1.9438076035686396,189.3191483171422,stop_loss,-32.4224,-8.105599999999999,0.0833333333333333,2,400.0,False,Rule 8,,,,
ENAUSDT,,,0.872,0.8022400000000001,229.3577981651376,stop_loss,-16.211199999999998,-8.105599999999999,0.0,1,200.0,False,Rule 8,,,,
