symbol,entry_time,exit_time,avg_entry_price,exit_price,quantity,exit_reason,net_pnl,return_pct,duration_hours,entry_count,total_invested,breakeven_triggered,rule,gross_pnl,total_commission,entry_commission,exit_commission
LINEAUSDT,,,0.02863,0.02716,6985.679357000000,negative_pnl_8h,-10.483301000000001,-5.241650000000000,0.0,1,200.0,False,Rule 8,,,,
SOMIUSDT,,,0.6223,0.572516,321.3883980000000,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
SOMIUSDT,,,0.6219630000000000,0.5722060000000000,964.6879830000000,stop_loss,-48.6336,-8.1056,0.16666700000000001,3,600.0,False,Rule 8,,,,
USELESSUSDT,,,0.1875,0.1868,1066.6666670000000,negative_pnl_8h,-0.966256000000000,-0.4831280000000000,0.0,1,200.0,False,Rule 8,,,,
ENAUSDT,,,0.7328490000000000,0.7327,545.8148580000000,negative_pnl_8h,-0.5214080000000000,-0.13035200000000000,0.25,2,400.0,False,Rule 8,,,,
PTBUSDT,,,0.04895100000000000,0.04896100000000000,28599.86897000000,breakeven_sl,-1.2601540000000000,-0.09001099999999999,12.583333000000000,7,1400.0,True,Rule 8,,,,
SOMIUSDT,,,0.7238420000000000,0.88361,2763.0333980000000,take_profit,439.00114700000000,21.950057000000001,4.833333000000000,10,2000.0,True,Rule 8,,,,
BIOUSDT,,,0.16621200000000000,0.1662450000000000,16845.9338980000,breakeven_sl,-2.5203080000000000,-0.09001099999999999,8.5,14,2800.0,True,Rule 8,,,,
SOMIUSDT,,,0.9642700000000000,1.13646,2696.341346000000,take_profit,461.1687300000000,17.73725900000000,4.0,13,2600.0,True,Rule 8,,,,
SOMIUSDT,,,1.1044220000000000,1.0473,1991.992121000000,negative_pnl_8h,-116.14406900000000,-5.279276000000000,8.583333000000000,11,2200.0,False,Rule 8,,,,
WLFIUSDT,,,0.2190850000000000,0.21912899999999999,4564.437106000000,breakeven_sl,-0.9001100000000000,-0.09001099999999999,9.083333000000000,5,1000.0,True,Rule 6,,,,
HUSDT,,,0.03691,0.0339570,5418.58574900000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
PTBUSDT,,,0.05669900000000000,0.05671100000000000,52910.79377700000,breakeven_sl,-2.700330000000000,-0.09001099999999999,2.4166669999999999,15,3000.0,True,Rule 6,,,,
SOMIUSDT,,,1.317144000000000,1.3174070000000000,607.374894000000,breakeven_sl,-0.7200880000000000,-0.09001099999999999,0.25,4,800.0,True,Rule 6,,,,
SOMIUSDT,,,1.4262470000000000,1.426533000000000,1682.7376520000000,breakeven_sl,-2.160264000000000,-0.09001099999999999,0.9166670000000000,12,2400.0,True,Rule 6,,,,
SOMIUSDT,,,1.7334590000000001,1.5947819999999999,1615.2673020000000,stop_loss,-226.95679999999999,-8.105600000000001,1.0833330000000001,14,2800.0,False,Rule 8,,,,
SOMIUSDT,,,1.7403,1.601076,114.92271400000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
SOONUSDT,,,0.33368500000000001,0.33375100000000002,4794.948161000000,breakeven_sl,-1.4401759999999999,-0.09001099999999999,11.166667000000000,8,1600.0,True,Rule 8,,,,
NAORISUSDT,,,0.032226999999999999,0.0314,43441.64104200000,negative_pnl_8h,-37.45270800000000,-2.6751930000000002,2.0,7,1400.0,False,Rule 6,,,,
ZEREBROUSDT,,,0.02261,0.02115,8845.64352100000,negative_pnl_8h,-13.127535999999999,-6.563768000000000,0.0,1,200.0,False,Rule 8,,,,
WLDUSDT,,,1.2916500000000000,1.1883180000000000,309.6814270000000,stop_loss,-32.422400000000003,-8.105600000000001,0.08333300000000000,2,400.0,False,Rule 8,,,,
NAORISUSDT,,,0.034993999999999997,0.03346,22860.945566999999,negative_pnl_8h,-35.933470999999997,-4.491684000000000,6.583333000000000,4,800.0,False,Rule 8,,,,
SOMIUSDT,,,1.779751000000000,1.6373709999999999,1236.1277669999999,stop_loss,-178.3232,-8.1056,0.9166670000000000,11,2200.0,False,Rule 6,,,,
LINEAUSDT,,,0.03091300000000000,0.030918999999999999,38818.85782400000,breakeven_sl,-1.080132000000000,-0.09001099999999999,0.75,6,1200.0,True,Rule 8,,,,
WLDUSDT,,,1.4582459999999999,1.4585370000000000,2194.4176259999999,breakeven_sl,-2.880352000000000,-0.09001099999999999,1.25,16,3200.0,True,Rule 8,,,,
HUSDT,,,0.04433300000000000,0.040786000000000003,54135.61577600000,stop_loss,-194.5344,-8.1056,2.25,12,2400.0,False,Rule 6,,,,
ATHUSDT,,,0.047248999999999999,0.04725900000000000,46561.599198999997,breakeven_sl,-1.9802420000000001,-0.09001099999999999,2.1666669999999999,11,2200.0,True,Rule 6,,,,
PTBUSDT,,,0.0668910000000000,0.06154000000000000,17939.523745999999,stop_loss,-97.26720000000000,-8.105600000000001,1.8333330000000001,6,1200.0,False,Rule 6,,,,
LAUNCHCOINUSDT,,,0.09464700000000000,0.111189,14791.777244000001,take_profit,243.00834399999999,17.357738999999999,0.75,7,1400.0,True,Rule 6,,,,
LAUNCHCOINUSDT,,,0.10987400000000000,0.10108399999999999,18202.60757000000,stop_loss,-162.112,-8.1056,0.75,10,2000.0,False,Rule 6,,,,
ARKMUSDT,,,0.6084770000000000,0.6085990000000000,2300.826878000000,breakeven_sl,-1.2601540000000000,-0.09001099999999999,14.666667000000000,7,1400.0,True,Rule 8,,,,
KAITOUSDT,,,1.3503229999999999,1.3505940000000001,1036.7886390000001,breakeven_sl,-1.2601540000000000,-0.09001099999999999,1.25,7,1400.0,True,Rule 8,,,,
HUSDT,,,0.04498700000000000,0.0413880000000000,13337.233974000001,stop_loss,-48.6336,-8.1056,0.3333330000000000,3,600.0,False,Rule 8,,,,
AI16ZUSDT,,,0.12184900000000000,0.1198,3282.75174600000,negative_pnl_8h,-7.162641000000000,-1.7906599999999999,0.08333300000000000,2,400.0,False,Rule 8,,,,
KAITOUSDT,,,1.435175000000000,1.4274,1114.8466020000001,negative_pnl_8h,-10.423192000000000,-0.6514500000000000,0.5833330000000000,8,1600.0,False,Rule 8,,,,
WLDUSDT,,,1.8073340000000000,2.12433,1659.9034850000000,take_profit,522.5933690000001,17.419778999999998,10.5,15,3000.0,True,Rule 6,,,,
WLDUSDT,,,2.1128339999999999,1.9438080000000000,189.3191480000000,stop_loss,-32.422400000000003,-8.105600000000001,0.08333300000000000,2,400.0,False,Rule 8,,,,
ENAUSDT,,,0.872,0.8022400000000000,229.3577980000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
SKATEUSDT,,,0.0502,0.046184,3984.06374500000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
NAORISUSDT,,,0.03829,0.0352270,5223.295900000000,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
NAORISUSDT,,,0.03873400000000000,0.03874200000000000,10326.765214999999,breakeven_sl,-0.3600440000000000,-0.09001099999999999,0.08333300000000000,2,400.0,True,Rule 8,,,,
PTBUSDT,,,0.06834899999999999,0.06792,11704.649044000000,negative_pnl_8h,-5.897476000000000,-0.7371840000000000,0.25,4,800.0,False,Rule 8,,,,
SOONUSDT,,,0.3832,0.352544,521.9206680000000,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
